,,Team,,CONF,KPI_rk,Record,Conf_Record,Home_record,Away_record,Best,Worst,,,KPI_sos,KPI_sos_rk
,,Washington State,,Pac-12,0.128,17 - 16,11 - 9,10 - 3,7 - 13,1.02 @ Arizona,-0.55 @ Prairie View,,,0.122,46
,,Louisiana,,Sun Belt,0.127,26 - 7,13 - 5,14 - 0,12 - 7,0.61 (H) Southern Miss,-0.47 @ Coastal Carolina,,,-0.048,200
,,Kennesaw State,,ASUN,0.126,26 - 8,15 - 3,15 - 1,11 - 7,0.64 (H) Liberty,-0.43 (N) Campbell,,,-0.032,178
,,Iona,,MAAC,0.124,27 - 7,17 - 3,11 - 1,16 - 6,0.61 (H) Saint Louis,-0.37 (N) SMU,,,-0.07,239
,,Villanova,,Big East,0.124,17 - 16,10 - 10,10 - 4,7 - 12,0.86 @ Xavier,-0.34 (N) Portland,,,0.126,40
,,Toledo,,MAC,0.122,27 - 7,16 - 2,13 - 1,14 - 6,0.66 (N) UAB,-0.64 (N) UMKC,,,-0.074,243
,,Seton Hall,,Big East,0.122,17 - 15,10 - 10,10 - 6,7 - 9,0.78 (N) Memphis,-0.37 (N) DePaul,,,0.103,64
,,UCF,,AAC,0.12,18 - 14,8 - 10,11 - 6,7 - 8,0.77 (H) Memphis,-0.35 (H) South Florida,,,0.078,87
,,Yale,,Ivy,0.118,21 - 8,10 - 4,10 - 2,11 - 6,0.59 (H) Vermont,-0.64 @ Columbia,,,-0.038,187
,,Southern Illinois,,MVC,0.118,23 - 10,14 - 6,13 - 2,10 - 8,0.69 (H) Drake,-0.46 @ Illinois State,,,-0.015,153
,,Middle Tennessee,,C-USA,0.118,19 - 14,11 - 9,12 - 2,7 - 12,0.80 (H) Florida Atlantic,-0.43 @ Texas-San Antonio,,,0.042,105
,,Grand Canyon,,WAC,0.115,24 - 11,10 - 7,14 - 4,10 - 7,0.67 @ Sam Houston State,-0.42 (H) Texas-Rio Grande Valley,,,-0.031,175
,,George Mason,,Atlantic 10,0.113,20 - 13,11 - 7,14 - 2,6 - 11,0.65 @ Dayton,-0.45 @ Loyola (Chicago),,,0.033,110
,,Duquesne,,Atlantic 10,0.109,20 - 12,10 - 8,16 - 4,4 - 8,0.79 (H) VCU,-0.46 (H) New Mexico State,,,0.008,132
,,Temple,,AAC,0.107,16 - 16,10 - 8,9 - 7,7 - 9,1.05 @ Houston,-0.52 (H) Wagner,,,0.088,78
,,Belmont,,MVC,0.102,21 - 11,14 - 6,12 - 2,9 - 9,0.77 @ Bradley,-0.47 @ Illinois State,,,-0.01,148
,,St. John's,,Big East,0.101,18 - 15,7 - 13,12 - 6,6 - 9,0.89 @ Connecticut,-0.17 @ Butler,,,0.081,84
,,Princeton,,Ivy,0.096,21 - 8,10 - 4,11 - 3,10 - 5,0.62 @ Yale,-0.46 @ Dartmouth,,,-0.07,240
,,UC-Santa Barbara,,Big West,0.095,27 - 7,15 - 5,12 - 3,15 - 4,0.52 @ UC-Irvine,-0.72 @ Cal State-Northridge,,,-0.088,269
,,Vermont,,America East,0.094,23 - 10,14 - 2,13 - 1,10 - 9,0.57 @ Colgate,-0.32 @ New Hampshire,,,-0.049,201
,,BYU,,WCC,0.09,19 - 15,7 - 9,12 - 4,7 - 11,0.63 (N) Creighton,-0.53 (N) South Dakota,,,0.048,102
,,San Francisco,,WCC,0.089,20 - 14,7 - 9,11 - 5,9 - 9,0.65 (H) Arizona State,-0.53 (H) San Diego,,,0.033,111
,,Syracuse,,ACC,0.088,17 - 15,10 - 10,11 - 7,6 - 8,0.66 (H) North Carolina State,-0.34 (H) Georgia Tech,,,0.078,88
,,Southern Utah,,WAC,0.087,22 - 12,12 - 6,13 - 2,9 - 10,0.57 (H) Sam Houston State,-0.37 (N) Texas State,,,-0.02,158
,,James Madison,,Sun Belt,0.087,22 - 11,12 - 6,11 - 3,11 - 8,0.70 @ Marshall,-0.54 (N) Valparaiso,,,-0.049,202
,,Washington,,Pac-12,0.086,16 - 16,8 - 12,12 - 6,4 - 10,0.82 (N) St. Mary's (CA),-0.39 @ Oregon State,,,0.099,69
,,Utah,,Pac-12,0.084,17 - 15,10 - 10,12 - 5,5 - 10,0.88 (H) Arizona,-0.31 (H) Stanford,,,0.069,91
,,Akron,,MAC,0.08,22 - 11,13 - 5,15 - 1,7 - 10,0.70 (H) Kent State,-0.23 (N) LSU,,,-0.055,215
,,UNC-Wilmington,,CAA,0.079,24 - 10,12 - 6,11 - 3,13 - 7,0.71 (N) North Texas,-0.55 (H) William & Mary,,,-0.057,218
,,Colorado State,,Mountain West,0.079,15 - 18,6 - 12,9 - 7,6 - 11,0.96 @ St. Mary's (CA),-0.56 (H) Northern Colorado,,,0.108,61
,,Furman,,SoCon,0.076,27 - 7,15 - 3,14 - 2,13 - 5,0.48 (H) Belmont,-0.58 @ The Citadel,,,-0.118,317
,,Boston College,,ACC,0.075,16 - 17,9 - 11,9 - 7,7 - 10,0.81 (H) Virginia,-0.48 (H) Maine,,,0.089,77
,,Old Dominion,,Sun Belt,0.074,19 - 12,11 - 7,12 - 4,7 - 8,0.59 (H) Louisiana,-0.61 (H) Arkansas State,,,-0.014,152
,,Wichita State,,AAC,0.074,17 - 15,9 - 9,8 - 8,9 - 7,0.61 @ Tulane,-0.31 (H) Alcorn State,,,0.057,95
,,Georgia,,SEC,0.074,16 - 16,6 - 12,13 - 4,3 - 12,0.70 (H) Auburn,-0.32 @ South Carolina,,,0.083,83
,,Seattle,,WAC,0.073,20 - 12,11 - 7,12 - 2,8 - 10,0.67 @ Utah Valley,-0.45 (H) Abilene Christian,,,-0.01,150
,,UC-Irvine,,Big West,0.073,23 - 11,15 - 5,11 - 4,12 - 7,0.66 @ Oregon,-0.63 (H) UC-San Diego,,,-0.046,196
,,Charlotte,,C-USA,0.07,18 - 14,9 - 11,11 - 4,7 - 10,0.76 (N) Boise State,-0.44 @ Texas-San Antonio,,,0.025,116
