,,,,,,,,,,,
TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Minnesota Golden Gophers,Big Ten,13-17,3.8,108,4,2.6,1.2,13.0-17.0,4.0-16.0,<0.1%,-
Stanford Cardinal,Pac-12,16-16,3.8,109,--,1.4,2.4,16.0-16.0,8.0-12.0,<0.1%,-
Wyoming Cowboys,Mountain West,25-9,3.8,110,2,2.9,0.9,25.0-9.0,13.0-5.0,<0.1%,-
Bradley Braves,MVC,17-14,3.8,111,--,0.4,3.4,17.0-14.0,11.0-7.0,<0.1%,-
Wofford Terriers,Southern,19-13,3.8,112,2,3.7,0.1,19.0-13.0,10.0-8.0,<0.1%,-
Western Kentucky Hilltoppers,C-USA,19-13,3.7,113,1,2,1.7,19.0-13.0,11.0-7.0,<0.1%,-
Colgate Raiders,Patriot,23-12,3.7,114,1,3.8,-0.1,23.0-12.0,16.0-2.0,>99.9%,-
Wagner Seahawks,NEC,21-6,3.7,115,2,1.2,2.5,21.0-6.0,15.0-3.0,<0.1%,-
Buffalo Bulls,MAC,19-11,3.6,116,--,3.2,0.4,19.0-11.0,13.0-6.0,<0.1%,-
Louisville Cardinals,ACC,13-19,3.4,117,--,0.9,2.5,13.0-19.0,6.0-14.0,<0.1%,-
Hofstra Pride,CAA,21-11,3.2,118,--,4,-0.8,21.0-11.0,13.0-5.0,<0.1%,-
Ohio Bobcats,MAC,25-10,3.1,119,1,1.8,1.4,25.0-10.0,14.0-6.0,<0.1%,-
Temple Owls,American,17-12,3,120,1,-0.1,3.1,17.0-12.0,10.0-7.0,<0.1%,-
Washington Huskies,Pac-12,17-15,2.9,121,--,0.5,2.5,17.0-15.0,11.0-9.0,<0.1%,-
Boston College Eagles,ACC,13-20,2.9,122,--,1.5,1.4,13.0-20.0,6.0-14.0,<0.1%,-
NC State Wolfpack,ACC,11-21,2.9,123,1,3.9,-1,11.0-21.0,4.0-16.0,<0.1%,-
Princeton Tigers,Ivy,23-7,2.9,124,1,5.7,-2.9,23.0-7.0,12.0-2.0,>99.9%,-
Kent State Golden Flashes,MAC,23-11,2.8,125,--,0.3,2.6,23.0-11.0,16.0-4.0,<0.1%,-
Oral Roberts Golden Eagles,Summit,19-12,2.3,126,--,4.3,-2,19.0-12.0,12.0-6.0,<0.1%,-
Jacksonville State Gamecocks,ASUN,21-11,2.3,127,--,2.6,-0.3,21.0-11.0,13.0-3.0,>99.9%,-
Rhode Island Rams,A 10,15-16,2.2,128,--,-2.3,4.5,15.0-16.0,5.0-12.0,<0.1%,-
Morehead State Eagles,OVC,23-11,2.1,129,--,-0.1,2.2,23.0-11.0,13.0-5.0,<0.1%,-
UC Irvine Anteaters,Big West,15-10,2,130,--,-2.3,4.4,15.0-10.0,9.0-5.0,<0.1%,-
Seattle U Redhawks,WAC,23-9,2,131,--,-0.4,2.4,23.0-9.0,14.0-4.0,>99.9%,-
California Golden Bears,Pac-12,12-20,1.8,132,--,-1.3,3.1,12.0-20.0,5.0-15.0,<0.1%,-
Longwood Lancers,Big South,26-7,1.8,133,--,2.3,-0.5,26.0-7.0,15.0-1.0,>99.9%,-
Monmouth Hawks,MAAC,21-13,1.7,134,--,0,1.6,21.0-13.0,11.0-9.0,<0.1%,-
Nebraska Cornhuskers,Big Ten,10-22,1.4,135,3,1.6,-0.2,10.0-22.0,4.0-16.0,<0.1%,-
Texas State Bobcats,Sun Belt,21-8,1.4,136,1,1,0.4,21.0-8.0,12.0-3.0,>99.9%,-
Georgia Tech Yellow Jackets,ACC,12-20,1.4,137,4,-1.1,2.5,12.0-20.0,5.0-15.0,<0.1%,-
Utah Utes,Pac-12,11-20,1.4,138,2,2,-0.6,11.0-20.0,4.0-16.0,<0.1%,-
Georgia State Panthers,Sun Belt,18-11,1.4,139,--,-0.9,2.3,18.0-11.0,9.0-5.0,<0.1%,-
Oakland Golden Grizzlies,Horizon,20-12,1.4,140,--,1.5,-0.1,20.0-12.0,12.0-7.0,<0.1%,-
Coastal Carolina Chanticleers,Sun Belt,19-14,1.3,141,6,0.3,1,19.0-14.0,8.0-8.0,<0.1%,-
Abilene Christian Wildcats,WAC,25-11,1.2,142,1,-0.1,1.3,25.0-11.0,11.0-7.0,<0.1%,-
North Dakota State Bison,Summit,23-10,1.2,143,2,1.1,0.1,23.0-10.0,13.0-5.0,<0.1%,-
Sam Houston Bearkats,WAC,19-14,1.2,144,--,-1.1,2.3,19.0-14.0,13.0-5.0,<0.1%,-
Butler Bulldogs,Big East,14-19,1.1,145,3,-0.9,2.1,14.0-19.0,6.0-14.0,<0.1%,-
Charleston Cougars,CAA,17-15,1.1,146,3,0.7,0.4,17.0-15.0,8.0-10.0,<0.1%,-
South Alabama Jaguars,Sun Belt,21-12,1.1,147,3,0,1.1,21.0-12.0,9.0-7.0,<0.1%,-
Florida Atlantic Owls,C-USA,19-15,1.1,148,2,1.6,-0.5,19.0-15.0,11.0-7.0,<0.1%,-
Delaware Blue Hens,CAA,22-13,1.1,149,2,2.5,-1.4,22.0-13.0,10.0-8.0,<0.1%,-
Winthrop Eagles,Big South,23-9,1.1,150,2,2.2,-1.1,23.0-9.0,14.0-2.0,<0.1%,-
Jacksonville Dolphins,ASUN,21-10,1.1,151,--,-1.3,2.4,21.0-10.0,11.0-5.0,<0.1%,-
Norfolk State Spartans,MEAC,24-7,1,152,--,-0.2,1.2,24.0-7.0,12.0-2.0,>99.9%,-
Drexel Dragons,CAA,15-14,0.9,153,--,1.8,-0.9,15.0-14.0,10.0-8.0,<0.1%,-
UC Santa Barbara Gauchos,Big West,17-11,0.9,154,--,1.5,-0.7,17.0-11.0,8.0-5.0,<0.1%,-
Wright State Raiders,Horizon,22-14,0.8,155,1,2.3,-1.5,22.0-14.0,15.0-7.0,<0.1%,-
Southern Illinois Salukis,MVC,16-15,0.8,156,1,-0.9,1.7,16.0-15.0,9.0-9.0,<0.1%,-
VMI Keydets,Southern,16-16,0.8,157,--,4.7,-3.9,16.0-16.0,9.0-9.0,<0.1%,-
