,,,,,,,
RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
221,Army,0-1,0-1,0-1,0-2,2-11,10-6
222,Idaho,0-0,0-1,0-1,0-2,0-6,3-18
223,Northern Arizona,0-0,0-1,0-2,0-3,2-6,8-12
224,Texas A&M Corpus Chris,0-1,0-1,0-2,0-3,1-7,9-8
225,Incarnate Word,0-2,0-2,0-1,0-3,0-7,2-15
226,Siena,0-0,0-1,0-2,0-3,3-4,14-9
227,Iona 16,0-1,0-2,0-1,0-3,2-4,15-8
228,Southern Utah,0-0,0-0,0-3,0-3,3-4,11-9
229,UMass Lowell,0-0,0-1,0-2,0-3,1-8,12-6
230,Robert Morris,0-2,0-2,0-1,0-3,0-5,15-8
231,Western Illinois,0-0,0-2,0-1,0-3,2-6,6-12
232,Milwaukee,0-2,0-2,0-1,0-3,2-10,6-9
233,Saint Peter's,0-3,0-3,0-0,0-3,0-4,10-15
234,Idaho St.,0-1,0-1,0-2,0-3,2-5,7-11
235,Arkansas Pine Bluff,0-2,0-2,0-1,0-3,1-8,11-8
236,North Texas,0-1,0-1,0-2,0-3,8-9,10-0
237,Delaware St.,0-0,0-0,0-3,0-3,1-4,3-18
238,Nicholls St.,0-3,0-3,0-0,0-3,0-5,10-9
239,Alabama A&M,0-1,0-1,0-2,0-3,0-9,5-15
240,Vermont 13,0-2,0-3,0-0,0-3,9-2,17-1
241,Lamar,0-1,0-1,0-2,0-3,1-4,15-6
242,Fairleigh Dickinson 16,0-0,0-1,0-2,0-3,1-2,17-8
243,Lafayette,0-0,0-0,0-3,0-3,4-7,5-10
244,USC Upstate,0-1,0-1,0-3,0-4,0-9,3-13
245,Morgan St.,0-2,0-2,0-2,0-4,0-1,8-15
246,Holy Cross,0-1,0-2,0-2,0-4,5-8,11-5
247,Cal Poly,0-0,0-1,0-3,0-4,0-8,4-11
248,Albany,0-0,0-2,0-2,0-4,1-6,10-10
249,South Dakota,0-2,0-3,0-1,0-4,1-6,10-7
250,Montana St.,0-0,0-3,0-1,0-4,2-5,12-8
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
251,Bethune Cookman,0-2,0-2,0-2,0-4,2-0,10-13
252,New Hampshire,0-0,0-2,0-2,0-4,0-7,3-13
253,Valparaiso,0-0,0-0,0-4,0-4,6-10,7-4
254,McNeese St.,0-2,0-3,0-1,0-4,0-5,6-12
255,Grambling St.,0-3,0-3,0-1,0-4,1-2,13-10
256,Illinois Chicago,0-0,0-1,0-3,0-4,5-7,9-5
257,Central Connecticut,0-1,0-2,0-2,0-4,2-2,7-14
258,Colgate 15,0-0,0-2,0-2,0-4,10-3,13-3
259,Charleston Southern,0-3,0-4,0-0,0-4,3-6,10-5
260,Southeastern Louisiana,0-2,0-4,0-0,0-4,1-3,14-9
261,Youngstown St.,0-0,0-1,0-3,0-4,4-9,6-7
262,Winthrop,0-2,0-3,0-1,0-4,3-7,12-1
263,St. Francis PA,0-3,0-3,0-1,0-4,1-3,15-7
264,Norfolk St.,0-1,0-1,0-3,0-4,0-4,18-5
265,Weber St.,0-0,0-1,0-3,0-4,2-4,14-7
266,North Carolina Central 16,0-2,0-2,0-2,0-4,0-3,15-8
267,UC Riverside,0-0,0-1,0-3,0-4,1-8,6-11
268,North Dakota,0-2,0-2,0-2,0-4,1-7,7-7
269,Fordham,0-0,0-1,0-4,0-5,3-7,8-8
270,Loyola MD,0-2,0-4,0-1,0-5,4-8,7-8
271,Prairie View A&M 16,0-1,0-3,0-2,0-5,1-6,20-1
