RK,TEAM,Q1A,Q1,Q2,Q1&2,Q3,Q4
221,Cleveland St.,0-0,0-2,0-0,0-2,1-6,17-2
222,Northern Kentucky,0-1,0-1,0-1,0-2,2-4,16-6
223,Georgia Southern,0-0,0-0,0-2,0-2,4-11,6-3
224,Norfolk St. 16,0-1,0-1,0-1,0-2,2-1,19-3
225,Idaho St.,0-0,0-0,0-2,0-2,0-8,5-13
226,Illinois Chicago,0-1,0-2,0-0,0-2,2-7,11-7
227,Columbia,0-0,0-0,0-2,0-2,1-10,2-10
228,Georgia St. 16,0-0,0-1,0-1,0-2,7-6,8-2
229,Longwood 14,0-1,0-1,0-1,0-2,4-2,18-2
230,Harvard,0-0,0-0,0-2,0-2,3-8,7-3
231,Youngstown St.,0-0,0-0,0-2,0-2,0-5,16-7
232,Montana St. 14,0-0,0-2,0-0,0-2,5-3,20-2
233,South Alabama,0-1,0-1,0-1,0-2,5-7,10-2
234,Campbell,0-1,0-2,0-1,0-3,0-4,13-6
235,Hampton,0-0,0-1,0-2,0-3,1-6,6-10
236,Marist,0-0,0-0,0-3,0-3,5-4,9-9
237,Army,0-1,0-1,0-2,0-3,1-3,12-10
238,Quinnipiac,0-0,0-0,0-3,0-3,2-9,11-5
239,Maryland Eastern Shore,0-1,0-1,0-2,0-3,1-6,7-6
240,Southern Utah,0-2,0-2,0-1,0-3,4-3,14-5
241,Cal Poly,0-0,0-2,0-1,0-3,1-10,5-8
242,Loyola MD,0-1,0-1,0-2,0-3,2-4,11-9
243,Fairfield,0-1,0-1,0-2,0-3,2-10,12-5
244,Texas St.,0-2,0-3,0-0,0-3,6-3,12-1
245,Eastern Kentucky,0-1,0-1,0-2,0-3,0-7,9-8
246,Texas A&M Corpus Chris 16,0-0,0-2,0-1,0-3,1-2,18-6
247,Green Bay,0-1,0-2,0-1,0-3,0-8,4-14
248,Portland St.,0-1,0-2,0-1,0-3,2-4,10-10
249,Manhattan,0-0,0-0,0-3,0-3,6-6,8-6
250,Hawaii,0-0,0-1,0-2,0-3,5-6,10-2
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
251,Alabama A&M,0-0,0-1,0-2,0-3,0-6,12-9
252,Sacramento St.,0-1,0-1,0-2,0-3,1-5,8-10
253,Stetson,0-0,0-1,0-2,0-3,2-6,5-10
254,Coastal Carolina,0-0,0-0,0-3,0-3,5-6,7-4
255,Jacksonville,0-0,0-0,0-3,0-3,2-7,15-0
256,Dartmouth,0-0,0-1,0-2,0-3,3-9,5-4
257,Charleston Southern,0-0,0-1,0-2,0-3,1-8,2-14
258,Arkansas St.,0-2,0-2,0-1,0-3,4-7,11-1
259,North Carolina Central,0-2,0-2,0-1,0-3,1-7,11-5
260,American,0-0,0-0,0-3,0-3,0-8,10-11
261,Bethune Cookman,0-1,0-1,0-3,0-4,2-3,6-14
262,Cornell,0-1,0-1,0-3,0-4,4-5,9-2
263,UNC Asheville,0-1,0-3,0-1,0-4,1-4,12-6
264,Morgan St.,0-1,0-1,0-3,0-4,1-3,8-7
265,Little Rock,0-2,0-2,0-2,0-4,3-12,3-3
266,UMKC,0-1,0-2,0-2,0-4,5-5,10-3
267,Cal St. Northridge,0-1,0-4,0-0,0-4,1-11,5-7
268,Robert Morris,0-1,0-2,0-2,0-4,0-6,7-14
269,Binghamton,0-1,0-3,0-1,0-4,2-4,8-9
270,FIU,0-0,0-1,0-3,0-4,2-8,11-5
271,Bryant 16,0-1,0-1,0-3,0-4,3-2,18-3
272,Montana,0-0,0-2,0-2,0-4,2-4,13-6
273,Northern Arizona,0-2,0-2,0-2,0-4,0-7,7-12
274,Gardner Webb,0-2,0-2,0-2,0-4,3-6,12-3
275,Delaware St.,0-0,0-0,0-4,0-4,0-5,0-16
276,Western Illinois,0-1,0-2,0-2,0-4,4-5,10-6
277,South Dakota,0-0,0-1,0-3,0-4,2-6,15-2
278,Saint Peter's 15,0-1,0-3,0-1,0-4,7-3,11-4
279,Louisiana Lafayette,0-2,0-2,0-2,0-4,4-7,10-4
280,New Hampshire,0-1,0-3,0-1,0-4,1-2,12-7
281,Central Connecticut,0-2,0-2,0-2,0-4,0-8,8-12
282,New Orleans,0-0,0-2,0-2,0-4,0-2,15-7
283,North Carolina A&T,0-0,0-1,0-3,0-4,3-8,6-8
284,North Dakota,0-0,0-2,0-2,0-4,1-8,3-13
285,Southeastern Louisiana,0-1,0-3,0-1,0-4,3-3,12-7
286,St. Thomas,0-0,0-1,0-3,0-4,0-9,7-7
287,Canisius,0-0,0-1,0-3,0-4,3-10,7-7
288,High Point,0-2,0-3,0-2,0-5,2-5,9-8
289,UMBC,0-0,0-2,0-3,0-5,1-5,16-4
290,William & Mary,0-0,0-3,0-2,0-5,2-10,2-12
291,Mount St. Mary's,0-2,0-3,0-2,0-5,0-3,13-8
292,Incarnate Word,0-4,0-4,0-1,0-5,0-5,5-14
293,USC Upstate,0-1,0-2,0-3,0-5,2-6,10-5
294,Stony Brook,0-1,0-3,0-2,0-5,4-3,13-5
295,St. Francis PA,0-2,0-2,0-3,0-5,0-4,8-12
296,Lehigh,0-0,0-0,0-5,0-5,2-3,10-11
297,Denver,0-0,0-2,0-3,0-5,2-7,8-8
298,Mississippi Valley St.,0-0,0-3,0-2,0-5,0-4,2-17
299,Detroit,0-0,0-3,0-2,0-5,1-6,12-4
300,Tennessee St.,0-1,0-3,0-2,0-5,0-4,12-9
RK,TEAM,Q1-A,Q1,Q2,Q1&2,Q3,Q4
301,Presbyterian,0-1,0-1,0-4,0-5,1-7,8-8
302,Northern Colorado,0-3,0-4,0-1,0-5,5-2,13-7
303,Albany,0-1,0-3,0-2,0-5,2-4,11-9
304,Florida A&M,0-0,0-3,0-2,0-5,0-4,11-8
305,Bucknell,0-0,0-0,0-5,0-5,0-6,9-12
306,Central Arkansas,0-2,0-5,0-1,0-6,2-8,7-6
307,Appalachian St.,0-2,0-2,0-4,0-6,7-5,9-3
308,Wofford,0-0,0-1,0-5,0-6,6-6,11-1
309,Coppin St.,0-2,0-2,0-4,0-6,1-9,8-8
310,NJIT,0-0,0-3,0-3,0-6,1-2,9-10
311,Maine,0-1,0-3,0-3,0-6,0-4,3-13
312,Northwestern St.,0-4,0-6,0-0,0-6,0-4,6-13
313,UT Arlington,0-2,0-5,0-1,0-6,5-7,4-5
314,Kennesaw St.,0-0,0-3,0-3,0-6,1-7,8-5
315,Fairleigh Dickinson,0-1,0-2,0-4,0-6,1-3,3-13
316,Oral Roberts,0-1,0-4,0-2,0-6,3-3,13-3
317,Radford,0-1,0-2,0-4,0-6,0-7,9-5
318,McNeese St.,0-1,0-5,0-1,0-6,0-4,7-12
319,The Citadel,0-1,0-2,0-4,0-6,5-5,5-7
320,Grambling St.,0-2,0-5,0-1,0-6,1-5,9-9
321,North Alabama,0-2,0-3,0-3,0-6,1-5,4-10
322,Jackson St.,0-2,0-4,0-3,0-7,2-3,9-9
323,Cal Baptist,0-2,0-2,0-5,0-7,2-6,13-2
324,Arkansas Pine Bluff,0-3,0-6,0-1,0-7,0-4,5-13
325,Florida Atlantic,0-0,0-3,0-4,0-7,3-4,13-3
326,Lamar,0-1,0-2,0-5,0-7,0-8,0-12
327,UT Rio Grande Valley,0-3,0-3,0-4,0-7,1-9,5-7
328,Nebraska Omaha,0-2,0-4,0-3,0-7,0-8,4-10
329,LIU Brooklyn,0-2,0-4,0-3,0-7,0-4,15-3
330,Mercer,0-1,0-3,0-4,0-7,6-7,8-3
331,Bowling Green,0-1,0-2,0-5,0-7,1-5,10-6
332,North Dakota St.,0-1,0-3,0-4,0-7,5-1,16-2
333,Long Beach St.,0-5,0-5,0-2,0-7,8-3,10-2
334,Charlotte,0-1,0-3,0-5,0-8,5-5,12-1
335,Alabama St.,0-3,0-7,0-1,0-8,0-2,9-11
336,SIU Edwardsville,0-1,0-5,0-3,0-8,1-1,8-12
337,UTSA,0-1,0-3,0-5,0-8,1-8,6-5
338,Eastern Michigan,0-2,0-2,0-6,0-8,0-6,9-7
339,Eastern Illinois,0-1,0-4,0-4,0-8,0-3,3-15
340,Chicago St.,0-1,0-2,0-6,0-8,1-9,6-8
341,George Washington,0-0,0-3,0-5,0-8,5-7,7-3
342,Alcorn St.,0-4,0-5,0-3,0-8,1-4,16-4
343,Southern Miss,0-0,0-3,0-5,0-8,1-8,4-10
344,Western Michigan,0-2,0-4,0-5,0-9,1-4,5-9
345,Western Kentucky,0-2,0-2,0-7,0-9,5-3,12-1
346,Fordham,0-0,0-5,0-4,0-9,5-5,11-2
347,Penn,0-2,0-4,0-5,0-9,4-6,8-1
348,Tarleton St.,0-3,0-3,0-6,0-9,3-6,8-2
349,Prairie View A&M,0-4,0-7,0-2,0-9,0-2,8-8
350,Tennessee Martin,0-2,0-4,0-6,0-10,0-4,6-8
351,Tennessee Tech,0-3,0-6,0-4,0-10,0-3,9-8
352,North Florida,0-3,0-5,0-5,0-10,3-2,5-8
353,Evansville,0-1,0-4,0-6,0-10,1-9,4-5
354,Pepperdine,0-4,0-8,0-6,0-14,0-7,6-4
355,Georgia Tech,0-4,0-9,0-7,0-16,7-3,4-1
356,San Jose St.,0-3,0-8,0-8,0-16,2-4,5-3
357,Oregon St.,0-5,0-9,0-10,0-19,1-7,2-2
358,Georgetown,0-7,0-12,0-9,0-21,2-3,4-1
